DateTime,timestamp,Latitude,Longitude,IMEI,scannedValue,seconds_since_prior_scan,distance from prior scan,Ranch
1428100859,2015-04-03 03:40:59,36.58261076,-121.61244737,353918052223944,PR00080, ,
1428100859,2015-04-03 03:40:59,36.58261076,-121.61244737,353918052223944,PR00080,0,0,
1428101240,2015-04-03 03:47:20,36.58186476,-121.61357882,353918052223944,PR00079,381,429.00187466537375,
1428101240,2015-04-03 03:47:20,36.58186476,-121.61357882,353918052223944,PR00079,0,0,
1459349619,2016-03-30 07:53:39,36.59902948,-121.6171238,355136058615736,2054610002, , 
1459349619,2016-03-30 07:53:39,36.59902948,-121.6171238,355136058615736,2054610002,0,0,
1459436805,2016-03-31 08:06:45,36.60194083,-121.60043254,355136050058810,2054520002, , 
1459436805,2016-03-31 08:06:45,36.60194083,-121.60043254,355136050058810,2054520002,0,0,
1459437976,2016-03-31 08:26:16,36.60143248,-121.60028807,355136050058810,2054520001,1171,190.27778101673056,
1459437976,2016-03-31 08:26:16,36.60143248,-121.60028807,355136050058810,2054520001,0,0,
1459438724,2016-03-31 08:38:44,36.60151143,-121.60025833,355136050058810,2054520003,748,30.09961872795508,
1459438724,2016-03-31 08:38:44,36.60151143,-121.60025833,355136050058810,2054520003,0,0,
1459439667,2016-03-31 08:54:27,36.60332449,-121.59899123,355136050058810,2054520004,943,758.6558361498577,
1459439667,2016-03-31 08:54:27,36.60332449,-121.59899123,355136050058810,2054520004,0,0,
1459440929,2016-03-31 09:15:29,36.60237625,-121.60008793,355136050058810,2054520005,1262,472.1960194580095,
1459440929,2016-03-31 09:15:29,36.60237625,-121.60008793,355136050058810,2054520005,0,0,
1459435708,2016-03-31 07:48:28,36.60240788,-121.60061425,355136056588471,2054710001, , 
1459435708,2016-03-31 07:48:28,36.60240788,-121.60061425,355136056588471,2054710001,0,0,
1459436283,2016-03-31 07:58:03,36.60193809,-121.60092582,355136056588471,2054710003,575,194.22438068789222,
1459436283,2016-03-31 07:58:03,36.60193809,-121.60092582,355136056588471,2054710003,0,0,
1459438789,2016-03-31 08:39:49,36.60165785,-121.60024657,355136056588471,2054710005,2506,223.73582835051724,
1459438789,2016-03-31 08:39:49,36.60165785,-121.60024657,355136056588471,2054710005,0,0,
1459439830,2016-03-31 08:57:10,36.6031942,-121.59907615,355136056588471,2054710006,1041,657.1963754935553,
1459439830,2016-03-31 08:57:10,36.6031942,-121.59907615,355136056588471,2054710006,0,0,
1459440861,2016-03-31 09:14:21,36.60320334,-121.59964528,355136056588471,2054710007,1031,166.76451630910105,
1459440861,2016-03-31 09:14:21,36.60320334,-121.59964528,355136056588471,2054710007,0,0,
1459436830,2016-03-31 08:07:10,36.60196316,-121.60041597,355136057165568,2054610015, , 
1459436830,2016-03-31 08:07:10,36.60196316,-121.60041597,355136057165568,2054610015,0,0,
1459437618,2016-03-31 08:20:18,36.60231609,-121.60016401,355136057165568,2054610003,788,148.4468249718683,
1459437618,2016-03-31 08:20:18,36.60231609,-121.60016401,355136057165568,2054610003,0,0,
1459438642,2016-03-31 08:37:22,36.60133407,-121.60023044,355136057165568,2054610001,1024,358.8940613982347,
1459438642,2016-03-31 08:37:22,36.60133407,-121.60023044,355136057165568,2054610001,0,0,
1459439534,2016-03-31 08:52:14,36.60296571,-121.5991168,355136057165568,2054610002,892,678.95420662821,
1459439534,2016-03-31 08:52:14,36.60296571,-121.5991168,355136057165568,2054610002,0,0,
1459440874,2016-03-31 09:14:34,36.60250009,-121.59997577,355136057165568,2054610004,1340,303.6387024412241,
1459440874,2016-03-31 09:14:34,36.60250009,-121.59997577,355136057165568,2054610004,0,0,
1459436398,2016-03-31 07:59:58,36.60198552,-121.60082268,355136057268743,2054620005, , 
1459436398,2016-03-31 07:59:58,36.60198552,-121.60082268,355136057268743,2054620005,0,0,
1459437790,2016-03-31 08:23:10,36.60147161,-121.60038372,355136057268743,2054620013,1392,227.3960529007409,
1459437790,2016-03-31 08:23:10,36.60147161,-121.60038372,355136057268743,2054620013,0,0,
1459438559,2016-03-31 08:35:59,36.60154573,-121.60019524,355136057268743,2054620012,769,61.48687736710766,
1459438559,2016-03-31 08:35:59,36.60154573,-121.60019524,355136057268743,2054620012,0,0,
1459439407,2016-03-31 08:50:07,36.60290269,-121.59916709,355136057268743,2054620011,848,579.6046744618415,
1459439407,2016-03-31 08:50:07,36.60290269,-121.59916709,355136057268743,2054620011,0,0,
1459440527,2016-03-31 09:08:47,36.60349429,-121.59949442,355136057268743,2054620010,1120,236.2299537280316,
1459440527,2016-03-31 09:08:47,36.60349429,-121.59949442,355136057268743,2054620010,0,0,
1459441547,2016-03-31 09:25:47,36.60254513,-121.60013112,355136057268743,2054620009,1020,393.405034848754,
1459441547,2016-03-31 09:25:47,36.60254513,-121.60013112,355136057268743,2054620009,0,0,
1459436175,2016-03-31 07:56:15,36.60188214,-121.60084682,355136058615736,2054420005, , 
1459436175,2016-03-31 07:56:15,36.60188214,-121.60084682,355136058615736,2054420005,0,0,
1459437087,2016-03-31 08:11:27,36.60118823,-121.60082052,355136058615736,2054420006,912,253.34396670468874,
1459437087,2016-03-31 08:11:27,36.60118823,-121.60082052,355136058615736,2054420006,0,0,
1459437939,2016-03-31 08:25:39,36.60167063,-121.60023101,355136058615736,2054420007,852,246.6123496634695,
1459437939,2016-03-31 08:25:39,36.60167063,-121.60023101,355136058615736,2054420007,0,0,
1459438527,2016-03-31 08:35:27,36.60204475,-121.59983168,355136058615736,2054420008,588,179.79414185607354,
1459438527,2016-03-31 08:35:27,36.60204475,-121.59983168,355136058615736,2054420008,0,0,
1459439426,2016-03-31 08:50:26,36.60311549,-121.59905071,355136058615736,2054420009,899,452.79788816947956,
1459439426,2016-03-31 08:50:26,36.60311549,-121.59905071,355136058615736,2054420009,0,0,
1459440340,2016-03-31 09:05:40,36.60296941,-121.59966446,355136058615736,2054420010,914,187.539422090288,
1459440340,2016-03-31 09:05:40,36.60296941,-121.59966446,355136058615736,2054420010,0,0,
1459441170,2016-03-31 09:19:30,36.60360517,-121.59958794,355136058615736,2054420011,830,233.08673292138653,
1459441170,2016-03-31 09:19:30,36.60360517,-121.59958794,355136058615736,2054420011,0,0,
1459436787,2016-03-31 08:06:27,36.60179258,-121.6004963,356489052398513,2054410001, , 
1459436787,2016-03-31 08:06:27,36.60179258,-121.6004963,356489052398513,2054410001,0,0,
1459437872,2016-03-31 08:24:32,36.60143643,-121.60027132,356489052398513,2054410002,1085,145.72637981303168,
1459437872,2016-03-31 08:24:32,36.60143643,-121.60027132,356489052398513,2054410002,0,0,
1459438670,2016-03-31 08:37:50,36.6014058,-121.60031747,356489052398513,2054410003,798,17.542538091402733,
1459438670,2016-03-31 08:37:50,36.6014058,-121.60031747,356489052398513,2054410003,0,0,
1459439671,2016-03-31 08:54:31,36.60333836,-121.59895399,356489052398513,2054410004,1001,810.5102194580887,
1459439671,2016-03-31 08:54:31,36.60333836,-121.59895399,356489052398513,2054410004,0,0,
1459440958,2016-03-31 09:15:58,36.60233261,-121.60013437,356489052398513,2054410005,1287,504.2696049018487,
1459440958,2016-03-31 09:15:58,36.60233261,-121.60013437,356489052398513,2054410005,0,0,
1459436242,2016-03-31 07:57:22,36.60181892,-121.60085738,356489053642125,2054430001, , 
1459436242,2016-03-31 07:57:22,36.60181892,-121.60085738,356489053642125,2054430001,0,0,
1459436873,2016-03-31 08:07:53,36.60139112,-121.6006179,356489053642125,2054430002,631,171.15628983303742,
1459436873,2016-03-31 08:07:53,36.60139112,-121.6006179,356489053642125,2054430002,0,0,
1459437606,2016-03-31 08:20:06,36.60197898,-121.60014426,356489053642125,2054430003,733,255.4909992774801,
1459437606,2016-03-31 08:20:06,36.60197898,-121.60014426,356489053642125,2054430003,0,0,
1459438402,2016-03-31 08:33:22,36.60192627,-121.59990883,356489053642125,2054430004,796,71.60420785160105,
